地區,餐廳名稱,餐廳地址,query,place_id,matched_name,matched_address,status,,URL,,,,,,,,,,,,,,,,
台北,猴吃鍋,台中市南屯區大墩12街111號,猴吃鍋 台中市南屯區大墩12街111號,ChIJ2Yw0upc9aTQRWZ7I4ZghJdQ,猴吃鍋-手作泡菜鍋|冷藏熟成肉,"No. 111號, Dadun 12th St, Nantun District, Taichung City, Taiwan 408",OK,,https://s.openrice.com/cHRSmW2Pzm300,,,,,,,,,,,,,,,,
台北,小滿苑燒肉,台北市大安區忠孝東路四段311號7樓之5,小滿苑燒肉 台北市大安區忠孝東路四段311號7樓之5,ChIJy7EokcarQjQRJJj8f8Cmfhc,小滿苑燒肉,"No. 21號, Lane 131, Yanji St, Da’an District, Taipei City, Taiwan 106",OK,,https://s.openrice.com/cHRSm02Q2m700,,,,,,,,,,,,,,,,
新北,東華川府重慶老火鍋,新北市板橋區縣民大道二段116號1樓,東華川府重慶老火鍋 新北市板橋區縣民大道二段116號1樓,ChIJ_____xioQjQRowvUoYzi3jU,東華川府重慶老火鍋 - 板橋店,"No. 112號, Section 2, Xianmin Blvd, Banqiao District, New Taipei City, Taiwan 220",OK,,https://s.openrice.com/cHRSmG26mO700,,,,,,,,,,,,,,,,
台北,犇鐵板燒 安和本館,大安區安和路一段102巷2號,犇鐵板燒 安和本館 大安區安和路一段102巷2號,ChIJmdIuJMyrQjQRsxx8cCcR4eE,私犇 鐵板燒,"No. 2, Lane 102, Section 1, Anhe Rd, Da’an District, Taipei City, Taiwan 106",OK,,https://s.openrice.com/cHRSm026z0000,,,,,,,,,,,,,,,,
台北,犇 極上 微風信義館,信義區忠孝東路五段68號4樓,犇 極上 微風信義館 信義區忠孝東路五段68號4樓,ChIJC6mZ2WirQjQREZ3Spd4j7qg,犇 極上 微風信義館,"110, Taiwan, Taipei City, Xinyi District, Section 5 of Zhongxiao East RoadSection 5 of Zhongxiao E Rd, 68號4楼微風信義",OK,,https://s.openrice.com/cHRSm02gJS600,,,,,,,,,,,,,,,,
台北,Closet Restaurant & Bar,台北市大安區忠孝東路四段101巷15號,Closet Restaurant & Bar 台北市大安區忠孝東路四段101巷15號,ChIJEyTR1dqrQjQRgPp_K_3LDp0,Closet,"No. 15號, Lane 101, Section 4, Zhongxiao E Rd, Da’an District, Taipei City, Taiwan 106",OK,,https://s.openrice.com/cHRSm02H6i600,,,,,,,,,,,,,,,,
台北,牛窟溫體牛肉,台北市大同區歸綏街127號,牛窟溫體牛肉 台北市大同區歸綏街127號,ChIJ-1FF-0GpQjQRdnw7wmMJu1I,牛窟,"No. 127號, Guisui St, Datong District, Taipei City, Taiwan 103",OK,,https://s.openrice.com/cHRSm02ls0700,,,,,,,,,,,,,,,,
台北,飯BAR Station 內湖旗艦店,台北市內湖區內湖路一段360巷2號,飯BAR Station 內湖旗艦店 台北市內湖區內湖路一段360巷2號,ChIJVwidem-sQjQRNq1w2eqA4jU,飯BAR 內湖創始店,"No. 2號, Lane 360, Section 1, Neihu Rd, Neihu District, Taipei City, Taiwan 114",OK,,https://s.openrice.com/cHRSm028im400,,,,,,,,,,,,,,,,
台北,學堂洋菓子,台北市大安區復興南路二段78巷2號,學堂洋菓子 台北市大安區復興南路二段78巷2號,ChIJM-5vYtOrQjQRGoQy_XOmpQA,Manabu學堂洋菓子專門店,"No. 26號, Aiguo E Rd, Zhongzheng District, Taipei City, Taiwan 100",OK,,https://s.openrice.com/cHRSm02ZTm500,,,,,,,,,,,,,,,,
台北,Double Like 雙倍喜歡,台北市大同區南京西路18巷6號2樓,Double Like 雙倍喜歡 台北市大同區南京西路18巷6號2樓,ChIJ4dK_nW6pQjQROorFHqEmU6E,double like,"No. 25號, Lane 47, Chifeng St, Datong District, Taipei City, Taiwan 103",OK,,https://s.openrice.com/cHRSm02nD4400,,,,,,,,,,,,,,,,
台中,山鯨燒肉,北區漢口路四段70之1號,山鯨燒肉 北區漢口路四段70之1號,ChIJlVM3ptcXaTQRD1W4vLe6LBA,山鯨燒肉 漢口店,"No. 70-1號, Section 4, Hankou Rd, North District, Taichung City, Taiwan 404",OK,,https://s.openrice.com/cHRSmW2Odm600,,,,,,,,,,,,,,,,
台中,印月創意東方宴,南屯區公益路二段818號,印月創意東方宴 南屯區公益路二段818號,ChIJDx9Kcu09aTQRtXtfujjf5Wg,印月餐廳（南屯公益路）,"No. 818號, Section 2, Gongyi Rd, Nantun District, Taichung City, Taiwan 408",OK,,https://s.openrice.com/cHRSmW27D0200,,,,,,,,,,,,,,,,
台北,Wonder Bar & Lounge,台北市松山區復興北路183號1樓,Wonder Bar & Lounge 台北市松山區復興北路183號1樓,ChIJre-c_RWrQjQRmY9TDzLoiKc,Ｗonder bar,"No. 183號, Fuxing N Rd, Songshan District, Taipei City, Taiwan 105",OK,,https://s.openrice.com/cHRSm02CsK700,,,,,,,,,,,,,,,,
台北,玉貴人蔬食,台北市中山區南京東路三段109巷1號,玉貴人蔬食 台北市中山區南京東路三段109巷1號,ChIJf2VUSCGrQjQReObMYME5i64,玉貴人蔬食(外送便當、商業便當、百元便當、團購便當）,"No. 1號, Lane 109, Section 3, Nanjing E Rd, Zhongshan District, Taipei City, Taiwan 10491",OK,,https://s.openrice.com/cHRSm02VsK700,,,,,,,,,,,,,,,,
桃園,盧卡義大利餐廳,桃園市龜山區振興路1338號2樓,盧卡義大利餐廳 桃園市龜山區振興路1338號2樓,ChIJGyDwcjmnQjQRNibr-AAttHw,Luca Italian Restaurant,"333, Taiwan, Taoyuan City, Guishan District, Alley 42, Lane 10, Wenhuayi Rd, 29號1樓",OK,,https://s.openrice.com/cHRSnG2W7a600,,,,,,,,,,,,,,,,
台中,皮耶小館,434台中市龍井區遠東街121號,皮耶小館 434台中市龍井區遠東街121號,ChIJCy3mWowVaTQRuCEGNueSI9Q,皮耶小館,"No. 121號, Yuandong St, Longjing District, Taichung City, Taiwan 434",OK,,https://s.openrice.com/cHRSmW2NJu200,,,,,,,,,,,,,,,,
新北,永力旺德國豬腳,新北市永和區永和路二段304號,永力旺德國豬腳 新北市永和區永和路二段304號,ChIJvTQz0OqpQjQRy1r8XdAX2mg,永力旺德國豬腳,"No. 304, Section 2, Yonghe Rd, Yonghe District, New Taipei City, Taiwan 234",OK,,https://s.openrice.com/cHRSmG2X44000,,,,,,,,,,,,,,,,
台北,琦琦里亞異國料理,台北市萬華區武昌街二段65號2樓,琦琦里亞異國料理 台北市萬華區武昌街二段65號2樓,ChIJsUK9SwupQjQRY4hWM4SGPj4,Ikki Taipei Hengyang Branch,"No. 52號, Hengyang Rd, Zhongzheng District, Taipei City, Taiwan 100",OK,,https://s.openrice.com/cHRSm028si700,,,,,,,,,,,,,,,,
台北,源芳魚翅餐廳,104台北市中山區松江路235巷7號1樓,源芳魚翅餐廳 104台北市中山區松江路235巷7號1樓,ChIJbR3m3l6pQjQRb7ZJrthhjAk,源芳魚翅餐廳｜龍蝦｜鮑魚｜燕窩｜僅此一家，別無分店,"No. 7號, Lane 235, Songjiang Rd, Zhongshan District, Taipei City, Taiwan 10491",OK,,https://s.openrice.com/cHRSm02cmW000,,,,,,,,,,,,,,,,
新竹/苗栗,吽Home燒肉(竹北店),新竹縣竹北市光明一路400號,吽Home燒肉(竹北店) 新竹縣竹北市光明一路400號,ChIJR1_YZ-s2aDQRPT-749uh8EY,吽home炭火燒肉,"302, Taiwan, Hsinchu County, Zhubei City, 光明一路400號",OK,,https://s.openrice.com/cHRSnW2R0a400,,,,,,,,,,,,,,,,
台中,席樂法式料理,台中市西屯區市政路569號,席樂法式料理 台中市西屯區市政路569號,ChIJs-qET-49aTQRPJwxdFarp3U,Le Cèleste席樂法式,"一樓, No. 869號, Yongchun East 7th Rd, Nantun District, Taichung City, Taiwan 40874",OK,,https://s.openrice.com/cHRSmW2Kw4600,,,,,,,,,,,,,,,,
台北,The Scent,台北市大安區樂利路37號,The Scent 台北市大安區樂利路37號,ChIJFRYcBDOqQjQR6hfUkTXf19A,The Scent Pasta House Since 2012/2025全新改裝&菜單/Happy Hours,"No. 37號, Leli Rd, Da’an District, Taipei City, Taiwan 106",OK,,https://s.openrice.com/cHRSm02SOK300,,,,,,,,,,,,,,,,
台北,翡冷翠義式餐廳,100台北市中正區重慶南路一段20號,翡冷翠義式餐廳 100台北市中正區重慶南路一段20號,ChIJMUqmM3OpQjQRTKkB0Ue1hHA,Tutto Fresco翡冷翠義式餐廳,"100, Taiwan, Taipei City, Zhongzheng District, Section 1, Hankou St, 15號1樓",OK,,https://s.openrice.com/cHRSm02eAi600,,,,,,,,,,,,,,,,
彰化/南投,阿杜皇家泰式料理 員林旗艦店,員林市大同路二段131號,阿杜皇家泰式料理 員林旗艦店 員林市大同路二段131號,ChIJ9bK8Bf82aTQRnm7mAWnZ11s,Ado,"No. 131號, Section 2, Datong Rd, Yuanlin City, Changhua County, Taiwan 510",OK,,https://s.openrice.com/cHRSnm2oaS400,,,,,,,,,,,,,,,,
高雄/屏東,阿杜皇家泰式料理 高雄明誠店,左營區明誠二路441號,阿杜皇家泰式料理 高雄明誠店 左營區明誠二路441號,ChIJs8c2BwMFbjQR1Qd5XoUIKQs,阿杜皇家泰式料理（明誠店）,"441號, No. 441, Mingcheng 2nd Rd, Zuoying District, Kaohsiung City, Taiwan 813",OK,,https://s.openrice.com/cHRSn02sgu600,,,,,,,,,,,,,,,,
